checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
none,12,existing AND duly paid,radio OR tv,1262, ... < 100,1 <= ... < 4y,3,male : single,none,2,car OR other,25,none,own,1,skilled employed OR official ,1,no,yes,1
none,18,existing AND duly paid,car (used),3378,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,1,society savings agreement OR life insurance,31,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,36,delayed,car (new),2225, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,57,bank,for free,2,skilled employed OR official ,1,yes,yes,2
none,6,duly paid,car (new),783,unknown OR no savings account,1 <= ... < 4y,1,male : single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,6468,unknown OR no savings account,unemployed,2,male : single,none,1,none OR unknown,52,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,36,critical account,radio OR tv,9566, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,car OR other,31,stores,own,2,skilled employed OR official ,1,no,yes,1
200 < ...,18,existing AND duly paid,car (new),1961, ... < 100,7y <= ...,3,female : married OR separated OR divorced,none,2,car OR other,23,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
negative,36,critical account,furniture,6229, ... < 100, ... < 1y,4,female : married OR separated OR divorced,co-applicant,4,none OR unknown,23,none,rent,2,unskilled - resident,1,yes,yes,2
 0 <= ... <= 200,9,existing AND duly paid,business,1391, ... < 100,1 <= ... < 4y,2,male : married,none,1,real estate,27,bank,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,15,critical account,radio OR tv,1537,unknown OR no savings account,7y <= ...,4,male : single,guarantor,4,real estate,50,none,own,2,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,36,none OR duly paid,business,1953, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,61,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
 0 <= ... <= 200,48,none OR duly paid,business,14421, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,25,none,own,1,skilled employed OR official ,1,yes,yes,2
none,24,existing AND duly paid,radio OR tv,3181, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,26,none,own,1,skilled employed OR official ,1,yes,yes,1
none,27,existing AND duly paid,repairs,5190,unknown OR no savings account,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,48,none,own,4,skilled employed OR official ,2,yes,yes,1
none,12,existing AND duly paid,radio OR tv,2171, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,2,car OR other,29,bank,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,car (new),1007,1000 <= ...,1 <= ... < 4y,4,male : married,none,1,real estate,22,none,own,1,skilled employed OR official ,1,no,yes,1
none,36,existing AND duly paid,education,1819, ... < 100,1 <= ... < 4y,4,male : single,none,4,none OR unknown,37,stores,for free,1,skilled employed OR official ,1,yes,yes,2
none,36,existing AND duly paid,radio OR tv,2394,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,car OR other,25,none,own,1,skilled employed OR official ,1,no,yes,1
none,36,existing AND duly paid,car (used),8133, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,30,bank,own,1,skilled employed OR official ,1,no,yes,1
none,7,critical account,radio OR tv,730,unknown OR no savings account,7y <= ...,4,male : single,none,2,society savings agreement OR life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1
negative,8,critical account,other,1164, ... < 100,7y <= ...,3,male : single,none,4,none OR unknown,51,bank,for free,2,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
 0 <= ... <= 200,42,critical account,business,5954, ... < 100,4 <= ... < 7y,2,female : married OR separated OR divorced,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,1
negative,36,existing AND duly paid,education,1977,unknown OR no savings account,7y <= ...,4,male : single,none,4,none OR unknown,40,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
negative,12,critical account,car (used),1526, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,66,none,for free,2,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
negative,42,existing AND duly paid,radio OR tv,3965, ... < 100, ... < 1y,4,male : single,none,3,car OR other,34,none,own,1,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,11,delayed,radio OR tv,4771, ... < 100,4 <= ... < 7y,2,male : single,none,4,society savings agreement OR life insurance,51,none,own,1,skilled employed OR official ,1,no,yes,1
none,54,none OR duly paid,car (used),9436,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,2,society savings agreement OR life insurance,39,none,own,1,unskilled - resident,2,no,yes,1
 0 <= ... <= 200,30,existing AND duly paid,furniture,3832, ... < 100, ... < 1y,2,male : married,none,1,society savings agreement OR life insurance,22,none,own,1,skilled employed OR official ,1,no,yes,1
none,24,existing AND duly paid,radio OR tv,5943,unknown OR no savings account, ... < 1y,1,female : married OR separated OR divorced,none,1,car OR other,44,none,own,2,skilled employed OR official ,1,yes,yes,2
none,15,existing AND duly paid,radio OR tv,1213,500 <= ... < 1000,7y <= ...,4,male : single,none,3,society savings agreement OR life insurance,47,stores,own,1,skilled employed OR official ,1,yes,yes,1
none,18,existing AND duly paid,business,1568,100 <= ... < 500,1 <= ... < 4y,3,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,24,none,rent,1,unskilled - resident,1,no,yes,1
negative,24,existing AND duly paid,other,1755, ... < 100,7y <= ...,4,female : married OR separated OR divorced,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1
negative,10,existing AND duly paid,radio OR tv,2315, ... < 100,7y <= ...,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,1
none,12,critical account,business,1412, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,guarantor,2,real estate,29,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
 0 <= ... <= 200,18,critical account,furniture,1295, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,27,none,own,2,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,36,existing AND duly paid,education,12612,100 <= ... < 500,1 <= ... < 4y,1,male : single,none,4,none OR unknown,47,none,for free,1,skilled employed OR official ,2,yes,yes,2
negative,18,existing AND duly paid,car (new),2249,100 <= ... < 500,4 <= ... < 7y,4,male : single,none,3,car OR other,30,none,own,1,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
negative,12,none OR duly paid,repairs,1108, ... < 100,4 <= ... < 7y,4,male : single,none,3,real estate,28,none,own,2,skilled employed OR official ,1,no,yes,2
none,12,critical account,radio OR tv,618, ... < 100,7y <= ...,4,male : single,none,4,real estate,56,none,own,1,skilled employed OR official ,1,no,yes,1
negative,12,critical account,car (used),1409, ... < 100,7y <= ...,4,male : single,none,3,real estate,54,none,own,1,skilled employed OR official ,1,no,yes,1
none,12,critical account,radio OR tv,797,unknown OR no savings account,7y <= ...,4,female : married OR separated OR divorced,none,3,society savings agreement OR life insurance,33,bank,own,1,unskilled - resident,2,no,yes,2
200 < ...,24,critical account,furniture,3617,unknown OR no savings account,7y <= ...,4,male : single,co-applicant,4,none OR unknown,20,none,rent,2,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,car (new),1318,1000 <= ...,7y <= ...,4,male : single,none,4,real estate,54,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,54,none OR duly paid,business,15945, ... < 100, ... < 1y,3,male : single,none,4,none OR unknown,58,none,rent,1,skilled employed OR official ,1,yes,yes,2
none,12,critical account,education,2012,unknown OR no savings account,4 <= ... < 7y,4,female : married OR separated OR divorced,none,2,car OR other,61,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,18,existing AND duly paid,business,2622,100 <= ... < 500,1 <= ... < 4y,4,male : single,none,4,car OR other,34,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,36,critical account,radio OR tv,2337, ... < 100,7y <= ...,4,male : single,none,4,real estate,36,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,20,delayed,car (used),7057,unknown OR no savings account,4 <= ... < 7y,3,male : single,none,4,society savings agreement OR life insurance,36,bank,rent,2,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
none,24,existing AND duly paid,car (new),1469,100 <= ... < 500,7y <= ...,4,male : married,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,36,existing AND duly paid,radio OR tv,2323, ... < 100,4 <= ... < 7y,4,male : single,none,4,car OR other,24,none,rent,1,skilled employed OR official ,1,no,yes,1
none,6,delayed,radio OR tv,932, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,real estate,24,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,9,critical account,furniture,1919, ... < 100,4 <= ... < 7y,4,male : single,none,3,car OR other,35,none,rent,1,skilled employed OR official ,1,yes,yes,1
none,12,existing AND duly paid,car (used),2445,unknown OR no savings account, ... < 1y,2,male : married,none,4,car OR other,26,none,rent,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,24,critical account,other,11938, ... < 100,1 <= ... < 4y,2,male : single,co-applicant,3,car OR other,39,none,own,2,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,2
none,18,duly paid,car (new),6458, ... < 100,7y <= ...,2,male : single,none,4,none OR unknown,39,bank,own,2,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,2
 0 <= ... <= 200,12,existing AND duly paid,car (new),6078, ... < 100,4 <= ... < 7y,2,male : single,none,2,car OR other,32,none,own,1,skilled employed OR official ,1,no,yes,1
negative,24,existing AND duly paid,furniture,7721,unknown OR no savings account, ... < 1y,1,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,30,none,own,1,skilled employed OR official ,1,yes,no,1
 0 <= ... <= 200,14,existing AND duly paid,business,1410,500 <= ... < 1000,7y <= ...,1,male : married,none,2,real estate,35,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,6,delayed,business,1449,100 <= ... < 500,7y <= ...,1,male : separated OR divorced,none,2,car OR other,31,bank,own,2,skilled employed OR official ,2,no,yes,1
200 < ...,15,existing AND duly paid,education,392, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,23,none,rent,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,18,existing AND duly paid,car (new),6260, ... < 100,4 <= ... < 7y,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,1
none,36,critical account,car (new),7855, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,real estate,25,stores,own,2,skilled employed OR official ,1,yes,yes,2
negative,12,existing AND duly paid,radio OR tv,1680,500 <= ... < 1000,7y <= ...,3,male : married,none,1,real estate,35,none,own,1,skilled employed OR official ,1,no,yes,1
none,48,critical account,radio OR tv,3578,unknown OR no savings account,7y <= ...,4,male : single,none,1,real estate,47,none,own,1,skilled employed OR official ,1,yes,yes,1
negative,42,existing AND duly paid,radio OR tv,7174,unknown OR no savings account,4 <= ... < 7y,4,female : married OR separated OR divorced,none,3,car OR other,30,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
negative,10,critical account,furniture,2132,unknown OR no savings account, ... < 1y,2,female : married OR separated OR divorced,co-applicant,3,real estate,27,none,rent,2,skilled employed OR official ,1,no,no,1
negative,33,critical account,furniture,4281,500 <= ... < 1000,1 <= ... < 4y,1,female : married OR separated OR divorced,none,4,car OR other,23,none,own,2,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,12,critical account,car (new),2366,500 <= ... < 1000,4 <= ... < 7y,3,male : separated OR divorced,none,3,car OR other,36,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,21,existing AND duly paid,radio OR tv,1835, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,real estate,25,none,own,2,skilled employed OR official ,1,yes,yes,2
none,24,critical account,car (used),3868, ... < 100,7y <= ...,4,female : married OR separated OR divorced,none,2,car OR other,41,none,rent,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,12,existing AND duly paid,furniture,1768, ... < 100,1 <= ... < 4y,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,1
200 < ...,10,critical account,car (new),781, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,63,none,for free,2,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,18,existing AND duly paid,furniture,1924,unknown OR no savings account, ... < 1y,4,female : married OR separated OR divorced,none,3,real estate,27,none,rent,1,skilled employed OR official ,1,no,yes,2
negative,12,critical account,car (new),2121, ... < 100,1 <= ... < 4y,4,male : single,none,2,society savings agreement OR life insurance,30,none,own,2,skilled employed OR official ,1,no,yes,1
negative,12,existing AND duly paid,radio OR tv,701, ... < 100,1 <= ... < 4y,4,male : married,none,2,real estate,40,none,own,1,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,repairs,639, ... < 100,1 <= ... < 4y,4,male : single,none,2,car OR other,30,none,own,1,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,12,critical account,car (used),1860, ... < 100,unemployed,4,male : single,none,2,car OR other,34,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,12,critical account,car (new),3499, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,co-applicant,2,real estate,29,none,own,2,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,48,existing AND duly paid,car (new),8487,unknown OR no savings account,4 <= ... < 7y,1,female : married OR separated OR divorced,none,2,car OR other,24,none,own,1,skilled employed OR official ,1,no,yes,1
negative,36,delayed,education,6887, ... < 100,1 <= ... < 4y,4,male : single,none,3,society savings agreement OR life insurance,29,stores,own,1,skilled employed OR official ,1,yes,yes,2
none,15,existing AND duly paid,furniture,2708, ... < 100, ... < 1y,2,male : single,none,3,society savings agreement OR life insurance,27,bank,own,2,unskilled - resident,1,no,yes,1
none,18,existing AND duly paid,furniture,1984, ... < 100,1 <= ... < 4y,4,male : single,none,4,none OR unknown,47,bank,for free,2,skilled employed OR official ,1,no,yes,1
none,60,existing AND duly paid,radio OR tv,10144,100 <= ... < 500,4 <= ... < 7y,2,female : married OR separated OR divorced,none,4,real estate,21,none,own,1,skilled employed OR official ,1,yes,yes,1
none,12,critical account,radio OR tv,1240,unknown OR no savings account,7y <= ...,4,female : married OR separated OR divorced,none,2,real estate,38,none,own,2,skilled employed OR official ,1,yes,yes,1
none,27,delayed,car (used),8613,1000 <= ...,1 <= ... < 4y,2,male : single,none,2,car OR other,27,none,own,2,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,766,500 <= ... < 1000,1 <= ... < 4y,4,male : single,none,3,real estate,66,none,own,1,unskilled - resident,1,no,yes,2
 0 <= ... <= 200,15,critical account,radio OR tv,2728,unknown OR no savings account,4 <= ... < 7y,4,male : single,guarantor,2,real estate,35,bank,own,3,skilled employed OR official ,1,yes,yes,1
200 < ...,12,existing AND duly paid,radio OR tv,1881, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,car OR other,44,none,rent,1,unskilled - resident,1,yes,yes,1
200 < ...,6,existing AND duly paid,car (new),709,1000 <= ..., ... < 1y,2,male : married,none,2,real estate,27,none,own,1,unemployed OR unskilled - non-resident,1,no,no,1
 0 <= ... <= 200,36,existing AND duly paid,radio OR tv,4795, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,none OR unknown,30,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,27,existing AND duly paid,radio OR tv,3416, ... < 100,1 <= ... < 4y,3,male : single,none,2,car OR other,27,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
negative,18,existing AND duly paid,furniture,2462, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,22,none,own,1,skilled employed OR official ,1,no,yes,2
none,21,critical account,furniture,2288, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,23,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,48,duly paid,business,3566,100 <= ... < 500,4 <= ... < 7y,4,male : single,none,2,car OR other,30,none,own,1,skilled employed OR official ,1,no,yes,1
negative,6,critical account,car (new),860, ... < 100,7y <= ...,1,female : married OR separated OR divorced,none,4,none OR unknown,39,none,own,2,skilled employed OR official ,1,yes,yes,1
none,12,critical account,car (new),682,100 <= ... < 500,4 <= ... < 7y,4,female : married OR separated OR divorced,none,3,car OR other,51,none,own,2,skilled employed OR official ,1,yes,yes,1
negative,36,critical account,furniture,5371, ... < 100,1 <= ... < 4y,3,male : single,guarantor,2,society savings agreement OR life insurance,28,none,own,2,skilled employed OR official ,1,no,yes,1
none,18,critical account,radio OR tv,1582,1000 <= ...,7y <= ...,4,male : single,none,4,car OR other,46,none,own,2,skilled employed OR official ,1,no,yes,1
none,6,existing AND duly paid,radio OR tv,1346,100 <= ... < 500,7y <= ...,2,male : single,none,4,none OR unknown,42,bank,for free,1,skilled employed OR official ,2,yes,yes,1
none,10,existing AND duly paid,radio OR tv,1924, ... < 100,1 <= ... < 4y,1,male : single,none,4,society savings agreement OR life insurance,38,none,own,1,skilled employed OR official ,1,yes,no,1
200 < ...,36,existing AND duly paid,radio OR tv,5848, ... < 100,1 <= ... < 4y,4,male : single,none,1,car OR other,24,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,24,critical account,car (used),7758,1000 <= ...,7y <= ...,2,female : married OR separated OR divorced,none,4,none OR unknown,29,none,rent,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,24,delayed,business,6967,100 <= ... < 500,4 <= ... < 7y,4,male : single,none,4,car OR other,36,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,12,existing AND duly paid,furniture,1282, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,20,none,rent,1,skilled employed OR official ,1,no,yes,2
